id,name,type,total_value
501,Individual Loan with SHS - Sun King Vihiga,Loan,11.53
449,SunKing Home System (incl.Radio) - Cash sales with Solar light IPP,Paid Upfront,
497,Manual pump; MoneyMaker Max Kit [Stock] - Paygo Four Pumps,Loan,101966.00
498,Manual pump; MoneyMaker Max Kit [Stock] - Paygo Five Pumps,Loan,127468.00
500,Individual Loan with SHS - Biolite Vihiga,Loan,11.53
450,Energy; Sun King Boom - Paygo Enabled [Stock] - Cash sales with Solar light IPP,Paid Upfront,
457,Energy; Sun King Solar Home System-PAYGO [Stock] - PayGo Loan IPP,Loan,12508.00
499,Manual pump; MoneyMaker Max Kit [Stock] - Paygo Six Pumps,Loan,152956.00
444,Energy; Sun King Pro Paygo-enabled [Stock] - Paygo Loan IPP,Loan,5559.00
510,Livestock; Chick - 1 day old [Stock] - Paygo 1000 DOC,Loan,121564.94
402,Individual_loan_delivery_.5_acre,Loan,-8527.00
511,Rent To Own,Loan,12.86
503,Livestock; Chick - 1 day old [Stock] - Paygo 300 DOC,Loan,63769.98
504,Livestock; Chick - 1 day old [Stock] - Paygo 400 DOC,Loan,85025.00
505,Livestock; Chick - 1 day old [Stock] - Paygo 500 DOC,Loan,106263.00
509,Individual Loan Kenya Staff,Loan,10.50
502,Water tank; Kentank; 2000L [stock] - Paygo Loan,Loan,21999.84
517,Group Loan,Loan,
518,Group Loan IHD,Loan,
519,Individual loan,Loan,
514,Energy; Sun King Solar Home System [Stock] - Duka SHS cash Sales,Paid Upfront,
515,Energy; Sun King Solar Home System [Stock] - Vihiga SHS Cash Sales,Paid Upfront,
520,Individual Loan IHD,Loan,
