id,contract_reference,payment_date,type,amount_paid
188570,C53150017,2021-12-17T01:04:38.373352,Manual Discount,0.00
190954,C63490015,2021-12-18T01:01:14.114545,Manual Discount,0.00
190957,C65810012,2021-12-18T01:01:32.596637,Manual Discount,0.00
190965,C63730014,2021-12-18T01:02:30.694685,Manual Discount,0.00
190971,C65860017,2021-12-18T01:03:05.840707,Manual Discount,0.00
190972,C48260012,2021-12-18T01:03:11.354437,Manual Discount,0.00
192071,C42790014,2021-12-18T17:43:52.876553,,500.00
192201,C58720012,2021-12-19T01:02:13.339618,Manual Discount,0.00
192283,C43100015,2021-12-19T05:19:25.768164,,3000.00
192361,C73980013,2021-12-19T06:39:06.845498,Offer Change Delay,0.00
192402,C51020014,2021-12-19T08:08:34.259001,,2000.00
192571,C42790014,2021-12-19T12:57:54.570192,,300.00
192918,C45230018,2021-12-19T18:20:21.372163,,53.00
192999,C74880014,2021-12-20T01:01:16.690513,Manual Discount,0.00
193000,C63600019,2021-12-20T01:01:23.813177,Manual Discount,0.00
193001,C64330012,2021-12-20T01:01:31.201468,Manual Discount,0.00
193002,C73260010,2021-12-20T01:01:38.523951,Manual Discount,0.00
193003,C51360014,2021-12-20T01:01:45.584437,Manual Discount,0.00
193007,C44340016,2021-12-20T01:02:14.815839,Manual Discount,0.00
193008,C45130010,2021-12-20T01:02:20.87792,Manual Discount,0.00
193015,C51570018,2021-12-20T01:03:06.877151,Manual Discount,0.00
193016,C43320019,2021-12-20T01:03:13.28077,Manual Discount,0.00
193017,C50320019,2021-12-20T01:03:19.862636,Manual Discount,0.00
193020,C70700018,2021-12-20T01:03:38.697206,Manual Discount,0.00
193021,C47530019,2021-12-20T01:03:44.569842,Manual Discount,0.00
193024,C74950015,2021-12-20T01:04:03.935969,Manual Discount,0.00
193025,C47890017,2021-12-20T01:04:11.187545,Manual Discount,0.00
193027,C45930013,2021-12-20T01:04:23.488036,Manual Discount,0.00
193028,C60570017,2021-12-20T01:04:29.44613,Manual Discount,0.00
193031,C46650016,2021-12-20T01:04:48.168448,Manual Discount,0.00
193032,C73200016,2021-12-20T01:04:54.357423,Manual Discount,0.00
193034,C55220016,2021-12-20T01:05:07.419401,Manual Discount,0.00
193035,C64610017,2021-12-20T01:05:14.288376,Manual Discount,0.00
193037,C70030010,2021-12-20T01:05:27.461761,Manual Discount,0.00
193039,C60510013,2021-12-20T01:05:38.962001,Manual Discount,0.00
193043,C46500013,2021-12-20T01:06:03.94977,Manual Discount,0.00
193046,C64600018,2021-12-20T01:06:23.792628,Manual Discount,0.00
193049,C70360011,2021-12-20T01:06:43.157168,Manual Discount,0.00
193059,C46760013,2021-12-20T01:07:47.793261,Manual Discount,0.00
193064,C72430010,2021-12-20T01:08:19.21744,Manual Discount,0.00
193065,C74930017,2021-12-20T01:08:25.352438,Manual Discount,0.00
193068,C57270019,2021-12-20T01:08:43.469502,Manual Discount,0.00
193069,C57210015,2021-12-20T01:08:49.260483,Manual Discount,0.00
193166,C45090016,2021-12-20T05:22:06.067717,,6.00
195006,C45160017,2021-12-20T13:57:23.645007,,1000.00
195239,C45230018,2021-12-20T16:43:20.396499,,26.00
195497,C53720017,2021-12-21T01:02:40.663069,Manual Discount,0.00
195500,C44620011,2021-12-21T01:03:02.275556,Manual Discount,0.00
195501,C60490018,2021-12-21T01:03:09.06033,Manual Discount,0.00
195505,C76320019,2021-12-21T01:03:36.003905,Manual Discount,0.00
195507,C58970013,2021-12-21T01:03:48.878564,Manual Discount,0.00
195508,C55130017,2021-12-21T01:03:57.033643,Manual Discount,0.00
195509,C58690017,2021-12-21T01:04:03.638774,Manual Discount,0.00
195510,C57070013,2021-12-21T01:04:10.165223,Manual Discount,0.00
195512,C54020011,2021-12-21T01:04:22.975505,Manual Discount,0.00
195513,C51680015,2021-12-21T01:04:28.743713,Manual Discount,0.00
195516,C78310018,2021-12-21T01:04:50.386481,Manual Discount,0.00
195517,C57010019,2021-12-21T01:04:56.698072,Manual Discount,0.00
195518,C75320010,2021-12-21T01:05:03.312698,Manual Discount,0.00
195520,C52620010,2021-12-21T01:05:18.666183,Manual Discount,0.00
195522,C55480016,2021-12-21T01:05:32.656215,Manual Discount,0.00
195525,C44470011,2021-12-21T01:05:54.870457,Manual Discount,0.00
195527,C77050011,2021-12-21T01:06:08.455063,Manual Discount,0.00
195528,C61820015,2021-12-21T01:06:15.783293,Manual Discount,0.00
195529,C78010014,2021-12-21T01:06:21.962307,Manual Discount,0.00
195531,C43090018,2021-12-21T01:06:36.328738,Manual Discount,0.00
195533,C42730010,2021-12-21T01:06:50.110814,Manual Discount,0.00
195534,C66780016,2021-12-21T01:06:56.154144,Manual Discount,0.00
195535,C59110015,2021-12-21T01:07:02.407857,Manual Discount,0.00
195536,C47100011,2021-12-21T01:07:09.711609,Manual Discount,0.00
195537,C45620010,2021-12-21T01:07:16.583404,Manual Discount,0.00
195539,C53030011,2021-12-21T01:07:30.916348,Manual Discount,0.00
196045,C52180015,2021-12-21T08:22:15.594726,,1000.00
196050,C45620010,2021-12-21T08:24:03.821632,,10.00
196487,C77400018,2021-12-21T11:13:29.023937,,500.00
197342,C42610014,2021-12-21T16:43:49.411785,,1000.00
197620,C69170017,2021-12-22T01:01:30.381368,Manual Discount,0.00
197629,C43540012,2021-12-22T01:03:07.96299,Manual Discount,0.00
197634,C72790017,2021-12-22T01:03:40.629241,Manual Discount,0.00
197636,C77930014,2021-12-22T01:03:54.161346,Manual Discount,0.00
197638,C63820013,2021-12-22T01:04:07.337641,Manual Discount,0.00
197640,C73310013,2021-12-22T01:04:18.833164,Manual Discount,0.00
197647,C77030013,2021-12-22T01:05:00.411692,Manual Discount,0.00
197648,C81150013,2021-12-22T01:05:09.387724,Manual Discount,0.00
197649,C71030019,2021-12-22T01:05:16.231649,Manual Discount,0.00
197660,C77940013,2021-12-22T01:06:19.680965,Manual Discount,0.00
197666,C52040011,2021-12-22T01:06:51.158886,Manual Discount,0.00
197667,C77380012,2021-12-22T01:06:57.077858,Manual Discount,0.00
197669,C71010011,2021-12-22T01:07:07.979361,Manual Discount,0.00
197672,C62780010,2021-12-22T01:07:24.29335,Manual Discount,0.00
197673,C59520015,2021-12-22T01:07:30.18861,Manual Discount,0.00
197674,C65440018,2021-12-22T01:07:36.519353,Manual Discount,0.00
197676,C82080011,2021-12-22T01:07:48.475907,Manual Discount,0.00
197681,C72840010,2021-12-22T01:08:19.634141,Manual Discount,0.00
197682,C68190016,2021-12-22T01:08:25.179765,Manual Discount,0.00
197683,C70350012,2021-12-22T01:08:32.13446,Manual Discount,0.00
197684,C74380015,2021-12-22T01:08:38.012675,Manual Discount,0.00
197685,C75810010,2021-12-22T01:08:44.462226,Manual Discount,0.00
197690,C52180015,2021-12-22T01:09:15.62878,Manual Discount,0.00
197738,C45540010,2021-12-22T04:51:19.84533,,500.00
197895,C68190016,2021-12-22T06:17:23.156457,,6.00
199811,C46840013,2021-12-22T17:35:42.462622,,40.00
201662,C61820015,2021-12-21T17:03:33.891449,,4030.00
203214,C73550014,2021-12-24T09:00:13.608506,,1816.00
203230,C72840010,2021-12-24T09:06:38.393189,,62.00
203369,C72840010,2021-12-24T10:28:50.523274,,62.00
203591,C50320019,2021-12-24T14:41:13.411239,,600.00
203967,C61160016,2021-12-24T21:04:50.478296,,50.00
204659,C45230018,2021-12-25T16:37:04.940939,,70.00
206596,C63730014,2021-12-27T09:35:51.899822,,50.00
207307,C63730014,2021-12-27T13:52:40.263554,,100.00
207424,C45280013,2021-12-27T15:50:06.441685,,100.00
207870,C65810012,2021-12-28T05:26:43.794026,,200.00
209211,C45280013,2021-12-28T11:05:30.72951,,94.00
209280,C667070015,2021-12-28T11:25:54.655535,Downpayment,0.00
209336,C63730014,2021-12-28T11:41:20.092114,,100.00
210912,C379060015,2021-12-29T07:58:59.197549,Downpayment,0.00
210913,C379060015,2021-12-29T07:58:59.197549,,46.00
211825,C77940013,2021-12-22T07:10:51.529652,,200.00
213177,C67440016,2021-12-30T05:16:50.617017,,1000.00
213706,C50320019,2021-12-30T08:18:08.074488,,400.00
215296,C46760013,2021-12-30T17:01:17.45599,,3000.00
215753,C77940013,2021-12-30T17:51:57.58712,,200.00
215864,C51420016,2021-12-31T07:59:14.198686,,2000.00
217252,C45280013,2022-01-01T09:41:23.569977,,130.00
217299,C45280013,2022-01-01T10:33:53.024703,,40.00
217425,C45280013,2022-01-01T13:26:54.716672,,80.00
221869,C43670017,2022-01-04T07:48:18.991037,,100.00
223947,C43670017,2022-01-05T04:48:52.247177,,50.00
224406,C53030011,2022-01-05T07:28:50.807784,,1000.00
228689,C43320019,2022-01-06T12:55:16.702058,,500.00
229329,C46650016,2022-01-06T17:44:09.393473,,3300.00
229992,C45960010,2022-01-07T06:50:09.657606,,1000.00
231091,C55130017,2022-01-07T12:05:15.135583,,200.00
231102,C55130017,2022-01-07T12:07:50.297988,,300.00
231735,C63730014,2022-01-07T16:49:30.343762,,200.00
232266,C72840010,2022-01-08T05:46:11.252399,,62.00
233068,C53720017,2021-11-30T18:36:31.759148,,150.00
233069,C53720017,2021-11-30T18:48:00.464473,,9.00
233675,C63730014,2022-01-08T18:03:09.165319,,54.00
233805,C51570018,2022-01-08T19:51:17.13923,,3550.00
233809,C51570018,2022-01-08T19:55:46.185239,,100.00
234331,C51680015,2022-01-09T13:56:44.298836,,200.00
234723,C57270019,2022-01-09T18:09:58.529977,,450.00
235196,C379060015,2022-01-09T07:43:28.619322,,60.00
235575,C44620011,2022-01-10T08:02:10.387364,,550.00
237972,C55560015,2022-01-11T07:14:46.149703,,500.00
238714,C647830017,2022-01-11T10:39:50.32751,Downpayment,0.00
238715,C647830017,2022-01-11T10:39:50.32751,,141.00
238973,C659840011,2022-01-11T11:33:24.10251,Downpayment,0.00
238974,C659840011,2022-01-11T11:33:24.10251,,11.00
239186,C694960014,2022-01-11T12:09:23.975893,Downpayment,0.00
239187,C694960014,2022-01-11T12:09:23.975893,,141.00
239305,C667420012,2022-01-11T12:32:09.812632,Downpayment,0.00
239306,C667420012,2022-01-11T12:32:09.812632,,141.00
240774,C437000011,2022-01-12T06:17:29.290454,Downpayment,0.00
240775,C437000011,2022-01-12T06:17:29.290454,,142.00
241180,C670500016,2022-01-12T07:56:48.10511,Downpayment,0.00
241181,C670500016,2022-01-12T07:56:48.10511,,1.00
241286,C77940013,2022-01-11T10:19:51.126139,,400.00
241337,C610620015,2022-01-12T08:25:29.750966,Downpayment,0.00
241338,C610620015,2022-01-12T08:25:29.750966,,629.00
241342,C559350012,2022-01-12T08:26:58.185562,Downpayment,0.00
241343,C559350012,2022-01-12T08:26:58.185562,,16.00
241467,C420000010,2022-01-12T08:46:33.400158,Downpayment,0.00
241468,C420000010,2022-01-12T08:46:33.400158,,316.00
241478,C601090012,2022-01-12T08:47:59.582016,Downpayment,0.00
241479,C601090012,2022-01-12T08:47:59.582016,,211.00
241485,C681370011,2022-01-12T08:48:44.122253,Downpayment,0.00
241486,C681370011,2022-01-12T08:48:44.122253,,141.00
241949,C615570017,2022-01-12T10:22:28.034383,Downpayment,0.00
241951,C615570017,2022-01-12T10:22:28.034383,,3876.00
241959,C654200013,2022-01-12T10:24:21.146007,Downpayment,0.00
241960,C654200013,2022-01-12T10:24:21.146007,,141.00
241963,C684760010,2022-01-12T10:25:30.239899,Downpayment,0.00
241964,C684760010,2022-01-12T10:25:30.239899,,321.00
242188,C689240018,2022-01-12T11:16:47.735162,Downpayment,0.00
242189,C689240018,2022-01-12T11:16:47.735162,,14.00
242294,C696040013,2022-01-12T11:38:49.391344,Downpayment,0.00
242295,C696040013,2022-01-12T11:38:49.391344,,241.00
242296,C680810017,2022-01-12T11:39:11.231447,Downpayment,0.00
242297,C680810017,2022-01-12T11:39:11.231447,,141.00
242305,C675700017,2022-01-12T11:43:04.757597,Downpayment,0.00
242306,C675700017,2022-01-12T11:43:04.757597,,141.00
242421,C688510015,2022-01-12T12:11:30.419737,Downpayment,0.00
242422,C688510015,2022-01-12T12:11:30.419737,,19.00
242425,C698210010,2022-01-12T12:12:21.921977,Downpayment,0.00
242426,C698210010,2022-01-12T12:12:21.921977,,141.00
242427,C277970018,2022-01-12T12:12:43.068896,Downpayment,0.00
242428,C277970018,2022-01-12T12:12:43.068896,,157.00
242431,C102110012,2022-01-12T12:14:21.610451,Downpayment,0.00
242432,C102110012,2022-01-12T12:14:21.610451,,91.00
242434,C688510015,2022-01-12T12:15:33.177456,,100.00
242576,C695640011,2022-01-12T12:47:56.766823,Downpayment,0.00
242577,C695640011,2022-01-12T12:47:56.766823,,641.00
242578,C699120010,2022-01-12T12:48:08.829112,Downpayment,0.00
242579,C699120010,2022-01-12T12:48:08.829112,,213.00
242699,C452250012,2022-01-12T13:18:47.741643,Downpayment,0.00
242740,C53670014,2022-01-12T13:30:04.066639,,200.00
243483,C654200013,2022-01-12T19:12:32.599899,,60.00
244180,C692650013,2022-01-13T07:34:10.268488,Downpayment,0.00
244181,C692650013,2022-01-13T07:34:10.268488,,43.00
244182,C564220010,2022-01-13T07:34:20.785959,Downpayment,0.00
244183,C564220010,2022-01-13T07:34:20.785959,,113.00
244301,C700860018,2022-01-13T08:08:13.67532,Downpayment,0.00
244302,C700860018,2022-01-13T08:08:13.67532,,241.00
244309,C696820018,2022-01-13T08:10:06.633946,Downpayment,0.00
244310,C696820018,2022-01-13T08:10:06.633946,,141.00
244434,C691960017,2022-01-13T08:38:51.066055,Downpayment,0.00
244435,C691960017,2022-01-13T08:38:51.066055,,141.00
244564,C647180017,2022-01-13T09:04:54.309452,Downpayment,0.00
244565,C647180017,2022-01-13T09:04:54.309452,,248.00
244812,C678290016,2022-01-13T09:58:07.403643,Downpayment,0.00
244813,C678290016,2022-01-13T09:58:07.403643,,41.00
245418,C702290016,2022-01-13T12:20:11.476407,Downpayment,0.00
245419,C702290016,2022-01-13T12:20:11.476407,,221.00
245421,C405870023,2022-01-13T12:20:56.975284,Downpayment,0.00
245422,C405870023,2022-01-13T12:20:56.975284,,16.00
245584,C53720017,2022-01-13T12:53:56.181024,Reversed Contract Payment,-150.00
245602,C53720017,2022-01-13T12:55:42.351543,Reversed Contract Payment,-9.00
245758,C700350010,2022-01-13T13:28:24.782227,Downpayment,0.00
245759,C700350010,2022-01-13T13:28:24.782227,,41.00
246487,C654200013,2022-01-13T19:03:15.247526,,30.00
248412,C46630018,2022-01-14T11:44:16.149209,,2000.00
249550,C700350010,2022-01-14T17:29:46.909373,,20.00
249762,C654200013,2022-01-14T19:23:34.894978,,30.00
250287,C42790014,2022-01-15T07:15:31.084224,,10.00
251882,C689240018,2022-01-16T07:24:42.538468,,100.00
251991,C700350010,2022-01-16T08:50:18.850466,,40.00
252509,C57270019,2022-01-16T16:40:36.325618,,459.00
252799,C654200013,2022-01-16T19:13:34.377518,,30.00
253924,C692650013,2022-01-17T10:23:40.784766,,100.00
255252,C680810017,2022-01-17T16:08:01.348431,,20.00
255280,C65810012,2022-01-17T16:23:12.539894,,200.00
255602,C654200013,2022-01-17T19:17:37.109546,,30.00
256538,C696040013,2022-01-17T16:41:16.879788,,100.00
257135,C45090016,2022-01-18T11:45:25.905228,,50.00
257293,C680810017,2022-01-18T12:24:31.449004,,50.00
257641,C700350010,2022-01-18T15:09:06.039601,,20.00
257647,C70700018,2022-01-18T15:12:32.001411,,100.00
258045,C654200013,2022-01-18T18:25:52.856071,,30.00
258422,C58720012,2022-01-19T06:39:30.215977,,600.00
260191,C667420012,2022-01-19T15:27:39.48475,,500.00
260506,C699120010,2022-01-19T17:42:16.040297,,500.00
261541,C696040013,2022-01-19T09:32:50.570699,,100.00
262882,C700350010,2022-01-20T15:29:40.084425,,1000.00
263224,C45230018,2022-01-20T17:53:27.209986,,100.00
263236,C45230018,2022-01-20T17:58:08.812085,,110.00
263340,C654200013,2022-01-20T18:54:12.078499,,60.00
263443,C680810017,2022-01-20T22:01:29.896979,,100.00
264868,C700350010,2022-01-21T12:21:12.684325,,99.00
265802,C654200013,2022-01-21T18:53:45.241416,,30.00
